Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Sepal.Area,Species
5.8,4.0,1.2,0.2,23.2,setosa
5.7,4.4,1.5,0.4,25.080000000000002,setosa
5.5,4.2,1.4,0.2,23.1,setosa
7.0,3.2,4.7,1.4,22.400000000000002,versicolor
7.6,3.0,6.6,2.1,22.799999999999997,virginica
7.2,3.6,6.1,2.5,25.92,virginica
7.7,3.8,6.7,2.2,29.259999999999998,virginica
6.9,3.2,5.7,2.3,22.080000000000002,virginica
6.7,3.3,5.7,2.1,22.11,virginica
7.2,3.2,6.0,1.8,23.040000000000003,virginica
7.9,3.8,6.4,2.0,30.02,virginica
7.7,3.0,6.1,2.3,23.1,virginica
6.7,3.3,5.7,2.5,22.11,virginica
